City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Kieta,-6.22,155.63,78.8,79,19,2.37,PG,2020-06-20 19:53:10
95,Hermanus,-34.42,19.23,57.99,90,83,11.16,ZA,2020-06-20 19:53:11
96,Adrar,20.5,-10.07,103.41,12,55,8.63,MR,2020-06-20 19:53:11
97,Port Hedland,-20.32,118.57,66.2,37,0,10.29,AU,2020-06-20 19:53:11
98,Altagracia De Orituco,9.86,-66.38,83.1,71,88,4.61,VE,2020-06-20 19:53:11
99,Chivacoa,10.16,-68.89,84.2,54,100,13.87,VE,2020-06-20 19:53:11
100,Sabang,5.89,95.32,82.51,77,72,7.67,ID,2020-06-20 19:53:12
101,Vestmannaeyjar,63.44,-20.27,51.8,87,75,26.4,IS,2020-06-20 19:53:12
102,Carnarvon,-24.87,113.63,59.0,100,0,4.7,AU,2020-06-20 19:49:57
103,Muros,42.78,-9.06,66.0,78,59,8.99,ES,2020-06-20 19:53:12
104,Pouebo,-20.4,164.57,66.4,81,8,9.31,NC,2020-06-20 19:53:12
105,Esna,25.29,32.55,93.2,26,0,6.93,EG,2020-06-20 19:53:12
106,Vangaindrano,-23.35,47.6,64.71,91,100,3.36,MG,2020-06-20 19:53:13
107,Tire,38.09,27.74,73.4,56,90,1.12,TR,2020-06-20 19:53:13
108,Nizhniy Kuranakh,58.84,125.49,52.86,85,45,2.06,RU,2020-06-20 19:53:13
109,Bredasdorp,-34.53,20.04,60.8,82,91,5.82,ZA,2020-06-20 19:53:13
110,Izhma,65.01,53.91,42.22,91,100,15.82,RU,2020-06-20 19:53:13
111,Cidreira,-30.18,-50.21,69.71,89,60,1.74,BR,2020-06-20 19:53:14
112,Shizilu,35.17,118.83,64.98,95,0,4.0,CN,2020-06-20 19:53:14
113,Touros,-5.2,-35.46,78.8,78,40,11.41,BR,2020-06-20 19:53:14
114,Dusetos,55.75,25.85,66.58,91,100,7.11,LT,2020-06-20 19:53:14
115,Balmazujvaros,47.62,21.35,62.6,100,1,3.36,HU,2020-06-20 19:53:15
116,Hua Hin,12.57,99.96,80.28,78,100,5.17,TH,2020-06-20 19:53:15
117,Vilhena,-12.74,-60.15,84.2,51,40,5.82,BR,2020-06-20 19:49:21
118,Chokurdakh,70.63,147.92,81.57,25,0,10.6,RU,2020-06-20 19:53:15
119,Saint Anthony,45.02,-93.22,72.0,53,40,6.93,US,2020-06-20 19:53:16
120,Krasnoselkup,65.7,82.47,44.76,86,100,13.73,RU,2020-06-20 19:53:16
121,Okha,53.57,142.95,40.35,96,100,11.07,RU,2020-06-20 19:53:16
122,Tuktoyaktuk,69.45,-133.04,35.17,95,100,10.78,CA,2020-06-20 19:53:16
123,Santa Isabel Do Rio Negro,-0.41,-65.02,81.48,83,91,2.75,BR,2020-06-20 19:53:17
124,Balao,-2.92,-79.82,80.6,74,75,9.17,EC,2020-06-20 19:53:17
125,Yarada,17.65,83.27,82.4,83,90,2.24,IN,2020-06-20 19:53:17
126,Mesyagutovo,55.53,58.25,57.15,92,88,10.8,RU,2020-06-20 19:53:17
127,Gao,16.64,1.64,99.07,13,0,4.76,ML,2020-06-20 19:53:17
128,Port Alfred,-33.59,26.89,64.0,56,18,7.0,ZA,2020-06-20 19:53:18
129,Ovalle,-30.6,-71.2,66.04,53,100,0.25,CL,2020-06-20 19:53:18
130,Stornoway,58.21,-6.39,60.01,82,27,10.29,GB,2020-06-20 19:53:18
131,Pathein,16.78,94.73,80.11,89,100,4.23,MM,2020-06-20 19:53:18
132,Kitzbuhel,47.45,12.39,53.01,91,87,1.52,AT,2020-06-20 19:53:18
133,Tela,15.78,-87.45,89.6,75,20,9.17,HN,2020-06-20 19:53:19
134,Hamilton,39.18,-84.53,91.99,43,90,10.29,US,2020-06-20 19:53:19
135,Laguna,38.42,-121.42,82.0,47,1,9.17,US,2020-06-20 19:53:19
