City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
118,shingu,JP,82.4,33.73,135.98,Shingu UI Hotel
119,khatanga,RU,78.62,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
120,east london,ZA,64.4,-33.02,27.91,Tu Casa
121,brusturoasa,RO,62.01,46.52,26.2,
122,port alfred,ZA,64.0,-33.59,26.89,The Halyards Hotel
126,sain alto,MX,71.67,23.58,-103.25,Hotel Barraza
128,broome,US,71.01,42.25,-75.83,Chenango Valley State Park
129,fergus falls,US,64.4,46.28,-96.08,AmericInn by Wyndham Fergus Falls Conference Center
130,vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort
131,katsuura,JP,78.01,35.13,140.3,Katsuura Hilltop Hotel & Residence
132,ryotsu,JP,80.6,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
133,port elizabeth,ZA,64.4,-33.92,25.57,39 On Nile Guest House
134,nikolskoye,RU,68.0,59.7,30.79,Tourist House - Sablino
136,novosergiyevka,RU,61.97,52.09,53.65,Gostinnitsa Edem
137,banjar,ID,84.2,-8.19,114.97,The Hamsa Resort
139,shelburne,CA,62.6,44.08,-80.2,The Retreat at the Farm
140,avarua,CK,77.0,-21.21,-159.78,Paradise Inn
141,abu samrah,SY,70.21,35.3,37.18,
144,portland,US,80.01,45.52,-122.68,Portland Marriott City Center
145,bethel,US,71.6,41.37,-73.41,Courtyard by Marriott Danbury
146,ambilobe,MG,74.17,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
147,aksarayskiy,RU,84.2,46.79,48.01,
148,thompson,CA,68.0,55.74,-97.86,Burntwood Hotel
149,great falls,US,73.4,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
151,yulara,AU,66.2,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
152,san patricio,MX,80.83,19.22,-104.7,Hotel Cabo Blanco
153,nybro,SE,63.0,56.74,15.91,Villa Nostalgia
156,semporna,MY,89.6,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
157,stephenville,US,73.4,32.22,-98.2,Holiday Inn Express & Suites Stephenville
158,souillac,MU,73.4,-20.52,57.52,Bils' Villa
159,elko,US,80.6,41.0,-115.5,
161,malko tarnovo,BG,66.99,41.98,27.53,Villa Malko Tarnovo
163,tanete,ID,86.63,-3.94,119.78,Wisma Tri Multi
165,port blair,IN,85.78,11.67,92.75,Hotel Sentinel
167,bilma,NE,84.88,18.69,12.92,Expeditions Ténére voyages
169,vila franca do campo,PT,60.8,37.72,-25.43,Pestana Bahia Praia
170,castro daire,PT,62.01,40.9,-7.93,Alvores do Tempo - Quinta de Turismo Rural
175,jaciara,BR,63.54,-15.97,-54.97,Taba Hotel
177,mabai,CN,78.3,23.01,104.45,Yingpan Hostel
178,banda aceh,ID,87.15,5.56,95.32,OYO 884 Rumoh PMI Hotel
179,umm kaddadah,SD,86.88,13.6,26.69,
180,arraial do cabo,BR,71.08,-22.97,-42.03,Pousada Porto Praia
182,namibe,AO,70.39,-15.2,12.15,Hotel Chik Chik Namibe
183,guerrero negro,MX,63.01,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
184,cidreira,BR,66.92,-30.18,-50.21,Novomar Pousada e Turismo Ltda
186,sao filipe,CV,76.53,14.9,-24.5,Tortuga B&B
188,talnakh,RU,66.2,69.49,88.4,Talnakh Hotel
189,manta,EC,73.53,-0.95,-80.73,Balandra Hotel
191,labuhan,ID,85.41,-6.88,112.21,bador sepret
192,mogadishu,SO,80.6,2.04,45.34,Hotel Juba
193,byron bay,AU,66.99,-28.65,153.62,Backpackers Inn on the Beach
194,calahorra,ES,69.8,42.31,-1.97,Parador de Calahorra
195,fort nelson,CA,64.4,58.81,-122.7,The Fort Nelson Hotel
197,jinxiang,CN,88.32,22.86,115.7,Haiyun Holiday Hotel
198,port macquarie,AU,66.99,-31.43,152.92,Rydges Port Macquarie
199,logansport,US,63.0,40.75,-86.36,Holiday Inn Express & Suites Logansport
200,pisco,PE,62.6,-13.7,-76.22,Hostal San Isidro Oficial
202,beyneu,KZ,85.82,45.32,55.2,NUR
204,bogorodskoye,RU,63.73,56.55,37.88,Sosnoviy Bor
