City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
90,northam,0,GB,clear sky,83,51.03,-4.22,61.0,0.0,0.0,1.99
91,kapustin yar,95,RU,overcast clouds,36,48.58,45.74,75.07,0.0,0.0,6.62
92,hasaki,75,JP,broken clouds,83,35.73,140.83,73.0,0.0,0.0,12.75
93,te anau,12,NZ,few clouds,85,-45.42,167.72,46.13,0.0,0.0,3.24
94,shimoda,40,JP,scattered clouds,83,34.67,138.95,75.2,0.0,0.0,12.75
95,itabira,81,BR,broken clouds,93,-19.62,-43.23,50.27,0.0,0.0,0.56
96,saskylakh,3,RU,clear sky,20,71.92,114.08,87.46,0.0,0.0,7.76
97,omsukchan,23,RU,few clouds,24,62.53,155.8,78.13,0.0,0.0,9.08
98,nizwa,0,OM,clear sky,33,22.93,57.53,94.15,0.0,0.0,2.19
99,dikson,8,RU,clear sky,76,73.51,80.55,39.34,0.0,0.0,9.75
100,lavrentiya,98,RU,overcast clouds,69,65.58,-171.0,40.17,0.0,0.0,12.75
101,luderitz,0,NA,clear sky,29,-26.65,15.16,57.2,0.0,0.0,2.24
102,upington,0,ZA,clear sky,42,-28.45,21.26,48.2,0.0,0.0,3.36
103,bredasdorp,0,ZA,clear sky,93,-34.53,20.04,37.4,0.0,0.0,1.54
104,pevek,84,RU,broken clouds,97,69.7,170.31,32.23,0.0,0.0,13.76
105,bathsheba,75,BB,shower rain,83,13.22,-59.52,80.6,0.0,0.0,19.46
106,naco,0,MX,clear sky,16,31.33,-109.95,78.01,0.0,0.0,5.01
107,puerto ayora,38,EC,scattered clouds,91,-0.74,-90.35,70.0,0.0,0.0,1.99
108,hofn,100,IS,light rain,91,64.25,-15.21,50.5,0.94,0.94,17.4
109,aranos,0,NA,clear sky,53,-24.13,19.12,45.3,0.0,0.0,11.68
110,terme,40,TR,scattered clouds,64,41.21,36.97,75.2,0.0,0.0,6.93
111,mayo,75,US,broken clouds,69,38.89,-76.51,80.6,0.0,0.0,4.7
112,solnechnyy,99,RU,overcast clouds,57,50.72,136.63,63.46,0.0,0.0,4.99
113,sfantu gheorghe,7,RO,clear sky,93,45.87,25.78,62.01,0.0,0.0,0.27
114,longyearbyen,40,SJ,scattered clouds,86,78.22,15.64,41.0,0.0,0.0,2.51
115,halifax,94,CA,overcast clouds,84,44.65,-63.57,64.0,0.0,0.0,3.98
116,aksu,79,CN,broken clouds,15,41.12,80.26,89.89,0.0,0.0,9.22
117,hobart,75,AU,broken clouds,93,-42.88,147.33,55.99,0.0,0.0,8.05
118,shingu,40,JP,scattered clouds,65,33.73,135.98,82.4,0.0,0.0,11.41
119,khatanga,33,RU,scattered clouds,38,71.97,102.5,78.62,0.0,0.0,5.99
120,east london,0,ZA,clear sky,27,-33.02,27.91,64.4,0.0,0.0,12.75
121,brusturoasa,9,RO,clear sky,84,46.52,26.2,62.01,0.0,0.0,1.68
122,port alfred,2,ZA,clear sky,34,-33.59,26.89,64.0,0.0,0.0,10.0
123,anadyr,40,RU,scattered clouds,75,64.75,177.48,46.4,0.0,0.0,15.66
124,kopavogur,90,IS,light rain,81,64.11,-21.91,50.0,0.0,0.0,8.05
125,rocha,100,UY,moderate rain,97,-34.48,-54.33,57.31,3.91,3.91,4.97
126,sain alto,54,MX,broken clouds,40,23.58,-103.25,71.67,0.0,0.0,10.67
127,baherden,0,TM,clear sky,12,38.44,57.43,92.7,0.0,0.0,4.07
128,broome,90,US,overcast clouds,83,42.25,-75.83,71.01,0.0,0.0,8.05
129,fergus falls,1,US,clear sky,72,46.28,-96.08,64.4,0.0,0.0,2.08
130,vaini,40,TO,scattered clouds,83,-21.2,-175.2,77.0,0.0,0.0,4.7
131,katsuura,79,JP,broken clouds,71,35.13,140.3,78.01,0.0,0.0,3.0
132,ryotsu,95,JP,overcast clouds,69,38.08,138.43,80.6,0.0,0.0,8.05
133,port elizabeth,0,ZA,clear sky,27,-33.92,25.57,64.4,0.0,0.0,8.05
134,nikolskoye,0,RU,clear sky,68,59.7,30.79,68.0,0.0,0.0,8.95
135,rawson,17,AR,few clouds,62,-43.3,-65.1,43.57,0.0,0.0,12.71
136,novosergiyevka,98,RU,overcast clouds,64,52.09,53.65,61.97,0.0,0.0,4.72
137,banjar,40,ID,scattered clouds,74,-8.19,114.97,84.2,0.0,0.0,17.22
138,lebu,90,CL,light rain,81,-37.62,-73.65,46.87,0.99,0.99,7.63
139,shelburne,90,CA,overcast clouds,82,44.08,-80.2,62.6,0.0,0.0,12.75
140,avarua,47,CK,scattered clouds,78,-21.21,-159.78,77.0,0.0,0.0,6.93
141,abu samrah,0,SY,clear sky,56,35.3,37.18,70.21,0.0,0.0,11.99
142,shenzhen,20,CN,few clouds,84,22.55,114.07,91.99,0.0,0.0,17.9
143,provideniya,75,RU,broken clouds,75,64.38,-173.3,42.8,0.0,0.0,13.42
144,portland,40,US,scattered clouds,54,45.52,-122.68,80.01,0.0,0.0,10.29
